dataset,repetition,fold,method,log_likelihood,mean_heldout_density,is_fallback
PctKids2Par,1,7,LOGIT_LSCV,-7.058235313358803,1.3835344791263162,False
PctKids2Par,1,7,REFLECT_SILV,-0.13588898559349094,1.381395129463555,False
PctKids2Par,1,7,REFLECT_LSCV,-0.13531320497827598,1.3797138397966304,False
PctKids2Par,1,8,BETA_ROT,-3.676486504709839,1.3332063029167762,False
PctKids2Par,1,8,BETA_LSCV,-3.6802835138054446,1.3422641576242609,False
PctKids2Par,1,8,LOGIT_SILV,-3.602218864045777,1.2804498683705163,False
PctKids2Par,1,8,LOGIT_LSCV,-3.6737317707145607,1.3486046282870314,False
PctKids2Par,1,8,REFLECT_SILV,-0.19863820954783712,1.3521764026319403,False
PctKids2Par,1,8,REFLECT_LSCV,-0.21164195915371012,1.358712529141098,False
PctKids2Par,1,9,BETA_ROT,-7.047322851650947,1.3783900593259333,False
PctKids2Par,1,9,BETA_LSCV,-7.049916391956667,1.386307227946201,False
PctKids2Par,1,9,LOGIT_SILV,-7.008120957190884,1.3137491752599582,False
PctKids2Par,1,9,LOGIT_LSCV,-7.046622807633646,1.3925469988937973,False
PctKids2Par,1,9,REFLECT_SILV,-0.12492779711912388,1.3903393580833119,False
PctKids2Par,1,9,REFLECT_LSCV,-0.12529545136816017,1.3916176099686652,False
PctKids2Par,1,10,BETA_ROT,-3.5799960434868665,1.3968649453554212,False
PctKids2Par,1,10,BETA_LSCV,-3.5843429939592597,1.4074275727138144,False
PctKids2Par,1,10,LOGIT_SILV,-3.5326204246336883,1.3381679920419232,False
PctKids2Par,1,10,LOGIT_LSCV,-3.6002352176053205,1.4156454129043992,False
PctKids2Par,1,10,REFLECT_SILV,-0.11093974805590771,1.4160264528716673,False
PctKids2Par,1,10,REFLECT_LSCV,-0.11214975451477396,1.417097608412035,False
PctKids2Par,2,1,BETA_ROT,-3.577305917383343,1.3743197393093909,False
PctKids2Par,2,1,BETA_LSCV,-3.5780053712403475,1.3844923887265677,False
PctKids2Par,2,1,LOGIT_SILV,-3.5310101906496327,1.3154701939365707,False
PctKids2Par,2,1,LOGIT_LSCV,-3.5703466372590373,1.3905066835837574,False
PctKids2Par,2,1,REFLECT_SILV,-0.12564020573204748,1.3918356018664213,False
PctKids2Par,2,1,REFLECT_LSCV,-0.12538784763156355,1.3910502610169115,False
PctKids2Par,2,2,BETA_ROT,-10.491834233997709,1.358658753573905,False
PctKids2Par,2,2,BETA_LSCV,-10.494046247329361,1.368717948809041,False
PctKids2Par,2,2,LOGIT_SILV,-10.44430172582644,1.318606256836717,False
PctKids2Par,2,2,LOGIT_LSCV,-10.489819428919201,1.3766168188085035,False
PctKids2Par,2,2,REFLECT_SILV,-0.14967742283302574,1.3771917163570089,False
PctKids2Par,2,2,REFLECT_LSCV,-0.14921141735057883,1.3765727289501946,False
PctKids2Par,2,3,BETA_ROT,-0.15253117538953742,1.3848036597019826,False
PctKids2Par,2,3,BETA_LSCV,-0.1538474519247618,1.3951556445690196,False
PctKids2Par,2,3,LOGIT_SILV,-0.09772709693340637,1.3040279298053554,False
PctKids2Par,2,3,LOGIT_LSCV,-0.14600833640537667,1.3999523102731768,False
PctKids2Par,2,3,REFLECT_SILV,-0.14187637658490362,1.4010850866411417,False
PctKids2Par,2,3,REFLECT_LSCV,-0.16127871899400203,1.4048646376289087,False
PctKids2Par,2,4,BETA_ROT,-13.96650543862269,1.3545031555260898,False
PctKids2Par,2,4,BETA_LSCV,-13.972349900318342,1.362885663873737,False
PctKids2Par,2,4,LOGIT_SILV,-13.91156700673238,1.3075317462666527,False
PctKids2Par,2,4,LOGIT_LSCV,-13.968690622914444,1.3687213213057694,False
PctKids2Par,2,4,REFLECT_SILV,-0.1772504844179114,1.3725570753230718,False
PctKids2Par,2,4,REFLECT_LSCV,-0.1771541553300422,1.372413988576119,False
PctKids2Par,2,5,BETA_ROT,-3.562375205124868,1.396526261965968,False
