Distribution,Sample_Size,BETA_ROT_LSCV_Mean,BETA_ROT_LSCV_Std,BETA_ROT_ISE_Mean,BETA_ROT_ISE_Std,BETA_ROT_Time_Sec_Mean,BETA_ROT_Time_Sec_Std,BETA_LSCV_LSCV_Mean,BETA_LSCV_LSCV_Std,BETA_LSCV_ISE_Mean,BETA_LSCV_ISE_Std,BETA_LSCV_Time_Sec_Mean,BETA_LSCV_Time_Sec_Std,BETA_ISE_LSCV_Mean,BETA_ISE_LSCV_Std,BETA_ISE_ISE_Mean,BETA_ISE_ISE_Std,BETA_ISE_Time_Sec_Mean,BETA_ISE_Time_Sec_Std,BETA_ORACLE_LSCV_Mean,BETA_ORACLE_LSCV_Std,BETA_ORACLE_ISE_Mean,BETA_ORACLE_ISE_Std,BETA_ORACLE_Time_Sec_Mean,BETA_ORACLE_Time_Sec_Std,LOGIT_SILV_LSCV_Mean,LOGIT_SILV_LSCV_Std,LOGIT_SILV_ISE_Mean,LOGIT_SILV_ISE_Std,LOGIT_SILV_Time_Sec_Mean,LOGIT_SILV_Time_Sec_Std,LOGIT_LSCV_LSCV_Mean,LOGIT_LSCV_LSCV_Std,LOGIT_LSCV_ISE_Mean,LOGIT_LSCV_ISE_Std,LOGIT_LSCV_Time_Sec_Mean,LOGIT_LSCV_Time_Sec_Std,LOGIT_ISE_LSCV_Mean,LOGIT_ISE_LSCV_Std,LOGIT_ISE_ISE_Mean,LOGIT_ISE_ISE_Std,LOGIT_ISE_Time_Sec_Mean,LOGIT_ISE_Time_Sec_Std,REFLECT_SILV_LSCV_Mean,REFLECT_SILV_LSCV_Std,REFLECT_SILV_ISE_Mean,REFLECT_SILV_ISE_Std,REFLECT_SILV_Time_Sec_Mean,REFLECT_SILV_Time_Sec_Std,REFLECT_LSCV_LSCV_Mean,REFLECT_LSCV_LSCV_Std,REFLECT_LSCV_ISE_Mean,REFLECT_LSCV_ISE_Std,REFLECT_LSCV_Time_Sec_Mean,REFLECT_LSCV_Time_Sec_Std,REFLECT_ISE_LSCV_Mean,REFLECT_ISE_LSCV_Std,REFLECT_ISE_ISE_Mean,REFLECT_ISE_ISE_Std,REFLECT_ISE_Time_Sec_Mean,REFLECT_ISE_Time_Sec_Std,BETA_ROT_Fallback_Rate_Mean
"B(0.5, 0.5)",50,-1.4161690735210994,0.36446532612026944,,,0.0001054048095829527,1.7794351984898794e-05,-1.396884401422181,0.3101050071188279,,,0.045804226129432156,0.008035479249207163,,,,,,,,,,,,,-35.10240470514193,1188.3915761247824,,,6.0375484987161356e-05,9.810629063048494e-06,-31.49134814606638,1125.5027767352256,,,0.006195453406195106,0.0011691445274542487,,,,,,,-1.1745212078636442,0.13903571938140474,,,4.394326976034751e-05,8.81770077944829e-06,-1.3521652992265885,0.30442653580712775,,,0.033528825137298504,0.0066754737264865345,,,,,,,1.0
"B(0.5, 0.5)",100,-1.5240756746367772,0.2775760677199983,,,9.335921681485346e-05,1.3994357373525396e-05,-1.4668018608696658,0.23101310120515214,,,0.1008585376127157,0.013808532343727174,,,,,,,,,,,,,-8.69359887515355,274.0085815935912,,,5.969699390698147e-05,8.287540801497213e-06,-2.998479669978275,176.62304988792894,,,0.013128914861357721,0.001757001643076477,,,,,,,-1.2202814897675882,0.10363316946845014,,,4.577678220812213e-05,7.304776167835e-06,-1.424215500258633,0.23281078057690693,,,0.14299835556396281,0.022416603398391778,,,,,,,1.0
"B(0.5, 0.5)",250,-1.6245982407920432,0.19750818342498852,,,0.00011163297004527409,1.3512756855898516e-05,-1.5282951344227265,0.15381785045260069,,,0.38678950039995835,0.04764145591752265,,,,,,,,,,,,,0.07322811651455018,101.59379433701797,,,8.953778981230674e-05,1.0809244217392576e-05,-0.5171153510025619,100.96369876806519,,,0.07790778755710921,0.011152397017043562,,,,,,,-1.2643989153857904,0.07136896306950155,,,7.12196303065861e-05,9.172807256990967e-06,-1.5026356904982614,0.1555453905524561,,,1.4296828659928869,0.12329871255778696,,,,,,,1.0
"B(0.5, 0.5)",500,-1.6913872682889932,0.1512512335826047,,,0.00011646426445799623,1.5617199317017162e-05,-1.5660133844964255,0.11290709092811788,,,1.230351680862601,0.15208073875000822,,,,,,,,,,,,,-2.884793843022549,86.70703131345596,,,0.00010806847747877281,1.3956050061718844e-05,-1.5704789859221198,59.16654428899583,,,0.4247045759453904,0.053608501816184546,,,,,,,-1.296115032205791,0.05368909585113275,,,9.392656444104773e-05,1.4190116464719724e-05,-1.5498218346697044,0.11412008124932384,,,7.703749713959871,0.7159974433575456,,,,,,,1.0
"B(0.5, 0.5)",1000,-1.7561509681513174,0.1193044272125364,,,0.0001328227214980363,2.070867930478248e-05,-1.6006169812800464,0.08560788190444443,,,4.344483202304109,0.5035752595220859,,,,,,,,,,,,,-2.324921661408911,70.4272938740637,,,0.00012781563145103603,1.7070438590556215e-05,-0.2504338133063077,43.19147134572643,,,2.611696108312812,0.32284327955671654,,,,,,,-1.3258608236144165,0.04172425474019428,,,0.00011536639137189634,1.898251859908738e-05,-1.5893112563359353,0.08620474179882792,,,32.885127865136134,3.510591467436816,,,,,,,1.0
"B(0.5, 0.5)",2000,-1.8179217458858934,0.09615750973385048,,,0.000149508673581245,2.0946737171189826e-05,-1.6308756218880665,0.06547580061271262,,,17.03249460312049,2.1502647364587286,,,,,,,,,,,,,-1.3846705942998403,20.505210311766618,,,0.0001703418891410756,2.4210696064025375e-05,0.13928626047609088,17.215344512841185,,,10.564343613702688,1.3656352555646043,,,,,,,-1.3529350435042837,0.03274941423094973,,,0.00014102805219585752,2.224957729435577e-05,-1.6223983382536706,0.06496841079643614,,,132.11118520886114,13.236372495685021,,,,,,,1.0
"B(0.8, 2.5)",50,-1.8565537629064346,0.35411043799867703,,,0.00011560540809291595,2.271696085573732e-05,-1.9305027675404376,0.3326229942135409,,,0.04325948103494006,0.010835681589025287,,,,,,,,,,,,,-1.7245976611520033,9.078339152123924,,,6.820635637268173e-05,1.431662556002007e-05,-1.9614897546176273,19.910633595569063,,,0.006553815732477186,0.0015351673842325026,,,,,,,-1.8709967061809811,0.3055864731555875,,,4.9585030181332226e-05,1.4642873899328336e-05,-1.9187848438455959,0.33449287357141355,,,0.030977007115376137,0.00664367987706486,,,,,,,0.996
"B(0.8, 2.5)",100,-1.915520111183241,0.2395456730094205,,,9.916832728775471e-05,1.4072944911929223e-05,-1.9481825079369006,0.2297931762912696,,,0.08867569732770784,0.015964483847233743,,,,,,,,,,,,,-1.7078425607260757,3.1296951662701065,,,6.408577959518784e-05,9.28979799528776e-06,-1.581284862231435,4.692624436935624,,,0.013484047274105203,0.0020871335438921806,,,,,,,-1.9109399506109765,0.21563092881791676,,,5.0478944904170696e-05,7.876375218516982e-06,-1.933472554606508,0.2280661465194405,,,0.12400609396712385,0.01914356762409629,,,,,,,1.0
"B(0.8, 2.5)",250,-1.950090235449286,0.15679364659240197,,,0.00011363224673546108,1.619415969365933e-05,-1.958241444567698,0.15066327047046024,,,0.3464243001070572,0.05944639373094298,,,,,,,,,,,,,-1.8030632861894047,0.8577633228826668,,,9.017748071345839e-05,9.197934699972649e-06,-1.6653543794740189,2.095720662302047,,,0.07962711732473686,0.012596365759296282,,,,,,,-1.9267027850355116,0.1387402402895393,,,7.22289688419546e-05,7.824861211480346e-06,-1.9400625980178154,0.15036193668020464,,,1.1936878422028385,0.14016994432052815,,,,,,,1.0
"B(0.8, 2.5)",500,-1.9704994485379914,0.11142507439298184,,,0.00012465509900352534,1.6144513854845047e-05,-1.97041622508922,0.10700324545529159,,,1.129235318883555,0.16401517486066186,,,,,,,,,,,,,-1.8536026546018394,0.4943322370040208,,,0.00010671228799034139,1.2955273372097009e-05,-1.8130932280707934,0.8972797000322867,,,0.4282479789480567,0.05177012729649919,,,,,,,-1.9407652187916713,0.09735355311141691,,,9.101207775528726e-05,1.1547807256921805e-05,-1.9554945583312164,0.10699814994738205,,,6.50435481907276,0.832909641324549,,,,,,,1.0
